aim,model,version,timestamp,n_samples,train_auc,cv_auc_mean,cv_auc_std,train_avg_precision,data_hash,params_hash,model_path
aim2_contact_risk,logistic_regression,v7,2026-06-25T13:40:53.471967,36,1.0,1.0,0.0,1.0,148482f911746fbe,5be4f764c9b61ae8,/home/asj/Internship(Mak-ai)/TB_RECOVERY_CHECK/models/registry/aim2_contact_risk/v7_logistic_regression.pkl
aim2_contact_risk,random_forest,v8,2026-06-25T13:40:55.083573,36,1.0,1.0,0.0,1.0,148482f911746fbe,219826fe951ff3c7,/home/asj/Internship(Mak-ai)/TB_RECOVERY_CHECK/models/registry/aim2_contact_risk/v8_random_forest.pkl
aim2_contact_risk,xgboost,v9,2026-06-25T13:40:55.558554,36,1.0,1.0,0.0,1.0,148482f911746fbe,0e1a5c2da4906a53,/home/asj/Internship(Mak-ai)/TB_RECOVERY_CHECK/models/registry/aim2_contact_risk/v9_xgboost.pkl
aim1_non_conversion_strict,strict_logistic,v4,2026-06-25T13:42:09.449311,11,0.1333333333333333,0.1333333333333333,,,66de92484fdc937a,056d5da5b6faf981,/home/asj/Internship(Mak-ai)/TB_RECOVERY_CHECK/models/registry/aim1_non_conversion_strict/v4_strict_logistic.pkl
aim1_non_conversion,logistic_regression,v28,2026-06-25T13:42:10.097429,218,0.7995283018867925,0.1583056478405315,0.0777425990410622,0.1052283830364348,0fae5667dd59db33,a25825e6958c2eab,/home/asj/Internship(Mak-ai)/TB_RECOVERY_CHECK/models/registry/aim1_non_conversion/v28_logistic_regression.pkl
aim1_non_conversion,random_forest,v29,2026-06-25T13:42:11.776407,218,0.9952830188679246,0.5543189368770765,0.1872302884069472,0.8819444444444444,0fae5667dd59db33,3e0078b4c516979b,/home/asj/Internship(Mak-ai)/TB_RECOVERY_CHECK/models/registry/aim1_non_conversion/v29_random_forest.pkl
aim1_non_conversion,xgboost,v30,2026-06-25T13:42:12.400751,218,1.0,0.2936600221483942,0.0685006232100038,1.0,0fae5667dd59db33,d523a43369f0bdac,/home/asj/Internship(Mak-ai)/TB_RECOVERY_CHECK/models/registry/aim1_non_conversion/v30_xgboost.pkl
aim2_contact_risk,logistic_regression,v10,2026-06-25T13:42:12.868654,36,1.0,1.0,0.0,1.0,148482f911746fbe,5be4f764c9b61ae8,/home/asj/Internship(Mak-ai)/TB_RECOVERY_CHECK/models/registry/aim2_contact_risk/v10_logistic_regression.pkl
aim2_contact_risk,random_forest,v11,2026-06-25T13:42:14.404812,36,1.0,1.0,0.0,1.0,148482f911746fbe,219826fe951ff3c7,/home/asj/Internship(Mak-ai)/TB_RECOVERY_CHECK/models/registry/aim2_contact_risk/v11_random_forest.pkl
aim2_contact_risk,xgboost,v12,2026-06-25T13:42:14.974741,36,1.0,1.0,0.0,1.0,148482f911746fbe,0e1a5c2da4906a53,/home/asj/Internship(Mak-ai)/TB_RECOVERY_CHECK/models/registry/aim2_contact_risk/v12_xgboost.pkl
aim1_non_conversion_strict,strict_logistic,v4,2026-06-25T13:51:49.104137,11,0.1333333333333333,0.1333333333333333,,,66de92484fdc937a,056d5da5b6faf981,/home/asj/Internship(Mak-ai)/TB_RECOVERY_CHECK/models/registry/aim1_non_conversion_strict/v4_strict_logistic.pkl
aim1_non_conversion,logistic_regression,v31,2026-06-25T13:51:49.645667,218,0.7995283018867925,0.1583056478405315,0.0777425990410622,0.1052283830364348,0fae5667dd59db33,a25825e6958c2eab,/home/asj/Internship(Mak-ai)/TB_RECOVERY_CHECK/models/registry/aim1_non_conversion/v31_logistic_regression.pkl
aim1_non_conversion,random_forest,v32,2026-06-25T13:51:50.661896,218,0.9952830188679246,0.5543189368770765,0.1872302884069472,0.8819444444444444,0fae5667dd59db33,3e0078b4c516979b,/home/asj/Internship(Mak-ai)/TB_RECOVERY_CHECK/models/registry/aim1_non_conversion/v32_random_forest.pkl
aim1_non_conversion,xgboost,v33,2026-06-25T13:51:50.997967,218,1.0,0.2936600221483942,0.0685006232100038,1.0,0fae5667dd59db33,d523a43369f0bdac,/home/asj/Internship(Mak-ai)/TB_RECOVERY_CHECK/models/registry/aim1_non_conversion/v33_xgboost.pkl
aim2_contact_risk,logistic_regression,v13,2026-06-25T13:51:51.320124,36,1.0,1.0,0.0,1.0,148482f911746fbe,5be4f764c9b61ae8,/home/asj/Internship(Mak-ai)/TB_RECOVERY_CHECK/models/registry/aim2_contact_risk/v13_logistic_regression.pkl
aim2_contact_risk,random_forest,v14,2026-06-25T13:51:52.279744,36,1.0,1.0,0.0,1.0,148482f911746fbe,219826fe951ff3c7,/home/asj/Internship(Mak-ai)/TB_RECOVERY_CHECK/models/registry/aim2_contact_risk/v14_random_forest.pkl
aim2_contact_risk,xgboost,v15,2026-06-25T13:51:52.547952,36,1.0,1.0,0.0,1.0,148482f911746fbe,0e1a5c2da4906a53,/home/asj/Internship(Mak-ai)/TB_RECOVERY_CHECK/models/registry/aim2_contact_risk/v15_xgboost.pkl
aim1_non_conversion_strict,strict_logistic,v4,2026-06-25T13:53:34.739025,11,0.1333333333333333,0.1333333333333333,,,66de92484fdc937a,056d5da5b6faf981,/home/asj/Internship(Mak-ai)/TB_RECOVERY_CHECK/models/registry/aim1_non_conversion_strict/v4_strict_logistic.pkl
aim1_non_conversion,logistic_regression,v34,2026-06-25T13:53:35.279654,218,0.7995283018867925,0.1583056478405315,0.0777425990410622,0.1052283830364348,0fae5667dd59db33,a25825e6958c2eab,/home/asj/Internship(Mak-ai)/TB_RECOVERY_CHECK/models/registry/aim1_non_conversion/v34_logistic_regression.pkl
aim1_non_conversion,random_forest,v35,2026-06-25T13:53:36.408220,218,0.9952830188679246,0.5543189368770765,0.1872302884069472,0.8819444444444444,0fae5667dd59db33,3e0078b4c516979b,/home/asj/Internship(Mak-ai)/TB_RECOVERY_CHECK/models/registry/aim1_non_conversion/v35_random_forest.pkl
aim1_non_conversion,xgboost,v36,2026-06-25T13:53:36.873129,218,1.0,0.2936600221483942,0.0685006232100038,1.0,0fae5667dd59db33,d523a43369f0bdac,/home/asj/Internship(Mak-ai)/TB_RECOVERY_CHECK/models/registry/aim1_non_conversion/v36_xgboost.pkl
aim2_contact_risk,logistic_regression,v16,2026-06-25T13:53:37.182917,36,1.0,1.0,0.0,1.0,148482f911746fbe,5be4f764c9b61ae8,/home/asj/Internship(Mak-ai)/TB_RECOVERY_CHECK/models/registry/aim2_contact_risk/v16_logistic_regression.pkl
aim2_contact_risk,random_forest,v17,2026-06-25T13:53:38.248784,36,1.0,1.0,0.0,1.0,148482f911746fbe,219826fe951ff3c7,/home/asj/Internship(Mak-ai)/TB_RECOVERY_CHECK/models/registry/aim2_contact_risk/v17_random_forest.pkl
aim2_contact_risk,xgboost,v18,2026-06-25T13:53:38.673525,36,1.0,1.0,0.0,1.0,148482f911746fbe,0e1a5c2da4906a53,/home/asj/Internship(Mak-ai)/TB_RECOVERY_CHECK/models/registry/aim2_contact_risk/v18_xgboost.pkl
aim1_non_conversion_strict,strict_logistic,v4,2026-06-25T13:53:53.887267,11,0.1333333333333333,0.1333333333333333,,,66de92484fdc937a,056d5da5b6faf981,/home/asj/Internship(Mak-ai)/TB_RECOVERY_CHECK/models/registry/aim1_non_conversion_strict/v4_strict_logistic.pkl
aim1_non_conversion,logistic_regression,v37,2026-06-25T13:53:54.430347,218,0.7995283018867925,0.1583056478405315,0.0777425990410622,0.1052283830364348,0fae5667dd59db33,a25825e6958c2eab,/home/asj/Internship(Mak-ai)/TB_RECOVERY_CHECK/models/registry/aim1_non_conversion/v37_logistic_regression.pkl
